VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Duration
2,1/15/2015 19:05,1/15/2015 19:23,1,1.59,-73.99389648,40.75011063,1,N,-73.97478485,40.75061798,credit card,12,1,0.5,3.25,0,0.3,17.05,0:18
1,1/10/2015 20:33,1/10/2015 20:53,1,3.3,-74.00164795,40.72424316,1,N,-73.99441528,40.7591095,credit card,14.5,0.5,0.5,2,0,0.3,17.8,0:20
1,1/10/2015 20:33,1/10/2015 20:43,1,1.8,-73.96334076,40.80278778,1,N,-73.95182037,40.8244133,cash,9.5,0.5,0.5,0,0,0.3,10.8,0:10
1,1/10/2015 20:33,1/10/2015 20:35,1,0.5,-74.00908661,40.7138176,1,N,-74.00432587,40.71998596,cash,3.5,0.5,0.5,0,0,0.3,4.8,0:02
1,1/10/2015 20:33,1/10/2015 20:52,1,3,-73.97117615,40.76242828,1,N,-74.00418091,40.74265289,cash,15,0.5,0.5,0,0,0.3,16.3,0:19
1,1/10/2015 20:33,1/10/2015 20:53,1,9,-73.87437439,40.77404785,1,N,-73.98697662,40.75819397,credit card,27,0.5,0.5,6.7,5.33,0.3,40.33,0:20
1,1/10/2015 20:33,1/10/2015 20:58,1,2.2,-73.98327637,40.72600937,1,N,-73.99246979,40.74963379,cash,14,0.5,0.5,0,0,0.3,15.3,0:25
1,1/10/2015 20:33,1/10/2015 20:42,3,0.8,-74.00266266,40.7341423,1,N,-73.99501038,40.72632599,credit card,7,0.5,0.5,1.66,0,0.3,9.96,0:09
1,1/10/2015 20:33,1/10/2015 21:11,3,18.2,-73.78304291,40.64435577,2,N,-73.9875946,40.75935745,cash,52,0,0.5,0,5.33,0.3,58.13,0:38
1,1/10/2015 20:33,1/10/2015 20:40,2,0.9,-73.98558807,40.76794815,1,N,-73.98591614,40.75936508,credit card,6.5,0.5,0.5,1.55,0,0.3,9.35,0:07
1,1/10/2015 20:33,1/10/2015 20:41,1,0.9,-73.98861694,40.72310257,1,N,-74.00439453,40.72858429,credit card,7,0.5,0.5,1.66,0,0.3,9.96,0:08
1,1/10/2015 20:33,1/10/2015 20:43,1,1.1,-73.99378204,40.75141907,1,N,-73.96740723,40.75721741,credit card,7.5,0.5,0.5,1,0,0.3,9.8,0:10
1,1/10/2015 20:33,1/10/2015 20:35,1,0.3,-74.00836182,40.70437622,1,N,-74.00977325,40.70772552,cash,3,0.5,0.5,0,0,0.3,4.3,0:02
1,1/10/2015 20:33,1/10/2015 21:03,1,3.1,-73.97394562,40.76044846,1,N,-73.99734497,40.73521042,credit card,19,0.5,0.5,3,0,0.3,23.3,0:30
1,1/10/2015 20:33,1/10/2015 20:39,1,1.1,-74.0067215,40.73177719,1,N,-73.99521637,40.73989487,cash,6,0.5,0.5,0,0,0.3,7.3,0:06
2,1/15/2015 19:05,1/15/2015 19:32,1,2.38,-73.97642517,40.73981094,1,N,-73.98397827,40.75788879,credit card,16.5,1,0.5,4.38,0,0.3,22.68,0:27
2,1/15/2015 19:05,1/15/2015 19:21,5,2.83,-73.96870422,40.75424576,1,N,-73.9551239,40.7868576,cash,12.5,1,0.5,0,0,0.3,14.3,0:16
2,1/15/2015 19:05,1/15/2015 19:28,5,8.33,-73.86306,40.76958084,1,N,-73.95271301,40.78578186,credit card,26,1,0.5,8.08,5.33,0.3,41.21,0:23
2,1/15/2015 19:05,1/15/2015 19:20,1,2.37,-73.94554138,40.77942276,1,N,-73.98085022,40.78608322,credit card,11.5,1,0.5,0,0,0.3,13.3,0:15
2,1/15/2015 19:05,1/15/2015 19:20,2,7.13,-73.87445831,40.7740097,1,N,-73.95237732,40.71858978,credit card,21.5,1,0.5,4.5,0,0.3,27.8,0:15
2,1/15/2015 19:05,1/15/2015 19:31,1,3.6,-73.97660065,40.7518959,1,N,-73.99892426,40.71459579,cash,17.5,1,0.5,0,0,0.3,19.3,0:26
2,1/15/2015 19:05,1/15/2015 19:10,1,0.89,-73.99495697,40.74507904,1,N,-73.99993896,40.73464966,credit card,5.5,1,0.5,1.62,0,0.3,8.92,0:05
2,1/15/2015 19:05,1/15/2015 19:10,1,0.96,-74.00093842,40.74706268,1,N,-74.00356293,40.73551178,credit card,5.5,1,0.5,1.3,0,0.3,8.6,0:05
2,1/15/2015 19:05,1/15/2015 19:12,2,1.25,-74.0027771,40.71789169,1,N,-74.00791931,40.70421982,credit card,6.5,1,0.5,1.5,0,0.3,9.8,0:07
2,1/15/2015 19:05,1/15/2015 19:22,5,2.11,-73.99745941,40.73636246,1,N,-73.9781723,40.76185608,credit card,11.5,1,0.5,2.5,0,0.3,15.8,0:17
2,1/15/2015 19:05,1/15/2015 19:14,5,1.15,-73.95227814,40.82399368,1,N,-73.95333862,40.81108856,credit card,7.5,1,0.5,1.7,0,0.3,11,0:09
2,1/15/2015 19:05,1/15/2015 19:16,1,1.53,-73.99112701,40.75008011,1,N,-73.98860931,40.73488998,cash,9,1,0.5,0,0,0.3,10.8,0:11
2,1/15/2015 19:05,1/15/2015 19:49,1,18.06,-73.78657532,40.64412689,2,N,-73.98560333,40.74353027,credit card,52,0,0.5,6,5.33,0.3,64.13,0:44
2,1/15/2015 19:05,1/15/2015 19:18,1,1.76,-73.9936676,40.74144745,1,N,-73.99451447,40.75772095,credit card,10,1,0.5,2.36,0,0.3,14.16,0:13
2,1/15/2015 19:05,1/15/2015 19:21,6,5.19,-73.98529053,40.7440834,1,N,-74.00907898,40.70468903,credit card,17.5,1,0.5,3.7,0,0.3,23,0:16
2,1/15/2015 19:05,1/15/2015 19:14,1,1.38,-73.96977234,40.7856102,1,N,-73.95070648,40.77468109,credit card,7.5,1,0.5,1.7,0,0.3,11,0:09
2,1/15/2015 19:05,1/15/2015 19:05,2,0.01,0,0,5,N,0,0,credit card,60,0,0,0,0,0.3,60.3,0:00
2,1/15/2015 19:05,1/15/2015 19:17,2,2.23,-73.98509216,40.75698853,1,N,-73.98487854,40.78015137,credit card,10,1,0.5,2.2,0,0.3,14,0:12
